tweetId,topic,multimodal,op_followers_count
1985750255288402000,Celebrity / Entertainment / Viral,image,51542
1985754009970585693,Politics & Elections,video,14197
1985766913650409529,Economy & Finance,text,100452
1985773995141337513,Geopolitics & International Conflicts,video,254974
1985861020997366182,Other / Miscellaneous,text,232270
1985888482854924749,Politics & Elections,video,1390837
1985888645362885107,Geopolitics & International Conflicts,text,331831
1985889387696308323,Social/Cultural Issues,video,15059
1985900698102272091,Politics & Elections,text,86204
1985907564383473847,Politics & Elections,text,1474819
1985917441336360981,Celebrity / Entertainment / Viral,video,12063
1985928359075856507,Politics & Elections,text,1445
1985928770977472932,Celebrity / Entertainment / Viral,image,642
1985951377034784957,Science & Technology,image,13423
1985973551535734839,Social/Cultural Issues,text,4762
1985974745402421573,Health & Medicine,video,1383038
1985994220055007665,Geopolitics & International Conflicts,video,90767
1985998120342471066,Economy & Finance,image,16944
1986015272893886765,Social/Cultural Issues,image,84927
1986015587446005917,Politics & Elections,video,121047
1986041593003114515,Social/Cultural Issues,text,12502
1986078646822466011,Social/Cultural Issues,text,93391
1986080183774822726,Social/Cultural Issues,image,472270
1986085500680093800,Politics & Elections,image,134202
1986104013310357672,Social/Cultural Issues,video,1361954
1986104366521045387,Politics & Elections,video,17935
1986145098720231926,Celebrity / Entertainment / Viral,text,299060
1986148655649198176,Geopolitics & International Conflicts,image,665280
1986156623698796615,Politics & Elections,text,1397
1986157291167477995,Politics & Elections,text,51526
1986169928466960650,Geopolitics & International Conflicts,image,287780
1986171488207012107,Celebrity / Entertainment / Viral,text,193
1986173776485105840,Social/Cultural Issues,video,77676
1986176977670140211,Geopolitics & International Conflicts,image,26217061
1986202022119461352,Politics & Elections,video,672603
1986216885151797686,Celebrity / Entertainment / Viral,image,30264
1986223456384380964,Social/Cultural Issues,text,175
1986226032182181967,Social/Cultural Issues,video,512957
1986308962778574909,Social/Cultural Issues,text,141
1986335364659970473,Social/Cultural Issues,image,392
1986381792606363748,Social/Cultural Issues,text,16811
1986383148788093339,Economy & Finance,image,1159571
1986420136593531035,Social/Cultural Issues,video,8231
1986440557028053158,Geopolitics & International Conflicts,text,287779
1986476676004651466,Science & Technology,image,11689
1986481598330782117,Politics & Elections,video,766535
1986492445467492668,Sports,image,457518
1986500863154930119,Sports,video,73931
1986502624800026629,Politics & Elections,text,238869
1986532597862642095,Sports,image,258425
1986532653445927009,Other / Miscellaneous,text,29922
1986554457044451499,Other / Miscellaneous,video,83083
1986565789110112686,Economy & Finance,text,886027
1986568444418957483,Science & Technology,text,29922
1986572911138967617,Sports,image,155265
1986581251550240903,Geopolitics & International Conflicts,image,107713
1986667011653705894,Social/Cultural Issues,image,164
1986732013416571262,Science & Technology,text,3019
1986750686235627963,Geopolitics & International Conflicts,text,444861
1986756305772798072,Social/Cultural Issues,text,55706
1986803827459367139,Sports,image,33392
1986808881880961285,Politics & Elections,video,18006
1986871648352628964,Other / Miscellaneous,image,32022
1986884931629244831,Politics & Elections,text,2454263
1986889088004227508,Celebrity / Entertainment / Viral,video,1824
1986894441165341064,Other / Miscellaneous,image,339
1986916077817725283,Health & Medicine,image,91218
1986933758487109741,Economy & Finance,image,472739
1986936239790973162,Science & Technology,image,19787
1986964165035188536,Geopolitics & International Conflicts,text,964912
1986985064756879623,Science & Technology,video,2488787
1987001004777251119,Social/Cultural Issues,video,28750
1987031703374704748,Politics & Elections,video,20063
1987082563236528577,Other / Miscellaneous,video,250339
1987094933925163237,Celebrity / Entertainment / Viral,text,843
1987116931862716591,Celebrity / Entertainment / Viral,image,5421
1987127978820767814,Politics & Elections,video,1390837
1987151516755493169,Sports,video,1505310
1987192518275190903,Politics & Elections,image,263577
1987277959506301311,Geopolitics & International Conflicts,video,48057
1987294067538137197,Celebrity / Entertainment / Viral,text,685217
1987317293269848242,Celebrity / Entertainment / Viral,text,10961
1987405436782584114,Social/Cultural Issues,image,2965
1987450153096163458,Politics & Elections,text,42253294
1987528064406794488,Celebrity / Entertainment / Viral,image,1607
1987559414006780227,Other / Miscellaneous,text,2362723
1987583914374779365,Politics & Elections,text,14951148
1987593617926664258,Science & Technology,text,945760
1987606511053357157,Politics & Elections,image,79991
1987614922369642569,Other / Miscellaneous,video,123622
1987620710265790547,Science & Technology,video,24322
1987653983486566784,Politics & Elections,text,112405
1987683402057711647,Other / Miscellaneous,image,6961
1987697062729662628,Politics & Elections,video,138420
1987702161413648635,Politics & Elections,text,1117062
1987709632517747029,Politics & Elections,text,180330
1987781121082315123,Social/Cultural Issues,image,6188
1987859864375234766,Other / Miscellaneous,video,432053
1987878911804625384,Social/Cultural Issues,image,32164
1987888154204836063,Politics & Elections,video,14254
1987895317153423441,Other / Miscellaneous,text,782044
1987907599740850354,Politics & Elections,text,370579
1987914938044563753,Geopolitics & International Conflicts,video,162545
1987919920378659266,Social/Cultural Issues,video,228145
1987946383429824940,Conspiracy & Pseudoscience,video,788
1987997632447607054,Politics & Elections,video,78680
1988023994138980633,Politics & Elections,text,105907
1988037766513651863,Social/Cultural Issues,text,14
1988074242865565898,Politics & Elections,video,1159571
1988090585912406377,Celebrity / Entertainment / Viral,image,34266
1988102940234838491,Social/Cultural Issues,video,483261
1988168652714307639,Geopolitics & International Conflicts,image,89
1988221711918248029,Conspiracy & Pseudoscience,text,40771
1988294394731221388,Celebrity / Entertainment / Viral,image,270596
1988318542102478908,Celebrity / Entertainment / Viral,image,571453
1988339223968243829,Other / Miscellaneous,image,2902
1988377318109430103,Conspiracy & Pseudoscience,video,90187
1988387112618782823,Politics & Elections,text,6143
1988410589463625809,Social/Cultural Issues,image,31011
1988414770815414366,Health & Medicine,image,63554
1988556648873672935,Celebrity / Entertainment / Viral,image,12913
1988566214499553549,Economy & Finance,video,36846
1988570227974565928,Politics & Elections,video,211119
1988587958673535032,Politics & Elections,image,66454
1988639953425736035,Geopolitics & International Conflicts,video,14254
1988645662465139197,Sports,video,9136
1988683266464121278,Politics & Elections,image,1979242
1988689272766099752,Politics & Elections,text,113055
1988690923400892495,Economy & Finance,image,5847660
1988706061508047110,Science & Technology,image,460804
1988708374943617289,Celebrity / Entertainment / Viral,text,2288988
1988743364351799618,Politics & Elections,video,563358
1988771301297909774,Other / Miscellaneous,video,27811
1988777205426704665,Other / Miscellaneous,image,15510
1988852790110683341,Other / Miscellaneous,video,15134
1988856568390001097,Science & Technology,image,86
1988870005060927701,Social/Cultural Issues,image,1720031
1988887054865035403,Celebrity / Entertainment / Viral,video,147610
1988902750566879731,Economy & Finance,text,88558
1988940512557228285,Other / Miscellaneous,image,17073
1988956947190616397,Politics & Elections,image,895847
1988972209013158059,Politics & Elections,image,4145989
1988978205546693010,Social/Cultural Issues,text,28704
1988979643878170911,Politics & Elections,text,1951795
1989001062909436381,Celebrity / Entertainment / Viral,image,1349367
1989005388671496604,Politics & Elections,image,1951796
1989023533645853089,Other / Miscellaneous,image,19170
1989043446850388480,Geopolitics & International Conflicts,text,49722
1989085031151858093,Geopolitics & International Conflicts,text,333113
1989086958883110989,Politics & Elections,video,1118026
1989094287934693857,Politics & Elections,video,3972
1989103221651173752,Celebrity / Entertainment / Viral,image,102202
1989159083140870653,Politics & Elections,video,39867
1989160569115668804,Politics & Elections,text,46488
1989216945439129955,Geopolitics & International Conflicts,image,49722
1989284062016811049,Celebrity / Entertainment / Viral,text,13122
1989284101304865073,Celebrity / Entertainment / Viral,image,296
1989287836281926084,Health & Medicine,text,28704
1989294871539020219,Economy & Finance,image,978490
1989325616030548400,Celebrity / Entertainment / Viral,text,14331
1989335787704300021,AI generated content,text,15
1989351030874911118,Sports,image,5308
1989368392986599736,Politics & Elections,text,504235
1989389912077185327,Geopolitics & International Conflicts,image,20547
1989390863081083372,Politics & Elections,text,4081182
1989394016430149856,Sports,text,79509
1989418714152972423,Other / Miscellaneous,image,60369
1989425021060542863,Geopolitics & International Conflicts,video,9970265
1989426650304684511,Geopolitics & International Conflicts,image,3665
1989449108072140885,Sports,image,6237644
1989487622201155901,Politics & Elections,image,58436
1989503868703559706,Politics & Elections,image,1159571
1989541273066217832,Sports,video,13585
1989555703430709477,Politics & Elections,text,15336
1989604642376892545,Celebrity / Entertainment / Viral,image,123976
1989655155361599585,Geopolitics & International Conflicts,text,11780
1989663245318124005,Health & Medicine,image,930981
1989723335844917581,Celebrity / Entertainment / Viral,image,1347078
1989723466409689553,Geopolitics & International Conflicts,video,65424
1989727669014114787,Celebrity / Entertainment / Viral,image,201917
1989734429695332466,Science & Technology,image,82740
1989758193640341560,Celebrity / Entertainment / Viral,image,74796
1989772398141546710,Politics & Elections,image,23768
1989782927056802112,Politics & Elections,video,120650
1989783050335801776,Politics & Elections,text,14250
1989798317354885226,Politics & Elections,image,20345025
1989830791338119459,Politics & Elections,text,200842
1989861569451205000,Politics & Elections,image,3856776
1989901696047448509,Other / Miscellaneous,image,122826
1989922859058434262,Other / Miscellaneous,image,169043
1989926449609134243,Politics & Elections,image,3538338
1989943152975966348,Social/Cultural Issues,video,877
1989971022003790073,Other / Miscellaneous,image,31483
1990054156837773804,Health & Medicine,image,17729
1990077471002148917,Social/Cultural Issues,image,80147
1990107625136984538,Politics & Elections,image,1159571
1990119062307827903,Celebrity / Entertainment / Viral,video,1691970
1990127031351197979,Social/Cultural Issues,text,304016
1990173628206616582,Politics & Elections,text,508771
1990182752558428565,Science & Technology,text,558446
1990265183839932451,Politics & Elections,image,1364934
1990316453430710283,Science & Technology,text,5804182
1990361340159103215,Social/Cultural Issues,text,9199
1990384542578794607,Conspiracy & Pseudoscience,video,13323
1990415083688656981,Social/Cultural Issues,video,28072
1990434826264973654,Politics & Elections,text,469050
1990471095032689028,Social/Cultural Issues,image,58212
1990476353800712272,Politics & Elections,image,2343
1990500616125272187,Economy & Finance,image,138491
1990538767627923920,Politics & Elections,text,621112
1990540955745714558,Celebrity / Entertainment / Viral,text,137468
1990544355547845015,Social/Cultural Issues,text,170550
1990545965858836649,Politics & Elections,image,580415
1990548756392034459,Politics & Elections,video,301377
1990590945432305807,Social/Cultural Issues,text,13837
1990625757069000989,Social/Cultural Issues,text,27916
1990645765245710553,Social/Cultural Issues,image,219653
1990676476291842316,Celebrity / Entertainment / Viral,video,77722
1990694424964153657,Politics & Elections,text,17670
1990766912335491548,Other / Miscellaneous,image,4304
1990786086562668668,Social/Cultural Issues,text,132162
1990788636795679057,Politics & Elections,text,8104
1990802044450418877,Science & Technology,image,22091
1990804714380824915,Social/Cultural Issues,text,100886
1990811732843888767,Sports,image,10427
1990826492557697494,Politics & Elections,text,78841
1990827136123638190,Conspiracy & Pseudoscience,video,376389
1990828228101931420,Geopolitics & International Conflicts,video,593414
1990836235158630900,Politics & Elections,video,766535
1990872101293863250,Celebrity / Entertainment / Viral,video,73015
1990879682498122220,Other / Miscellaneous,image,6907
1990879999721881628,Economy & Finance,image,17243
1990885214357213274,Social/Cultural Issues,text,271
1990889199956828225,Politics & Elections,video,1501363
1990891896474923221,Other / Miscellaneous,image,1351
1990913337765302429,Health & Medicine,text,2060296
1990916744492265668,Geopolitics & International Conflicts,image,97093
1990941126878994638,Other / Miscellaneous,video,39188
1990943687346696629,Politics & Elections,image,131852
1991062634087567541,Celebrity / Entertainment / Viral,image,2950
1991118838101065739,Celebrity / Entertainment / Viral,image,18068
1991198192050803032,Politics & Elections,text,1686124
1991198913550819469,Economy & Finance,text,441694
1991220894266466602,Politics & Elections,text,16216503
1991226708012220726,Politics & Elections,text,480019
1991245455880016038,Celebrity / Entertainment / Viral,image,59753
1991253799462162930,Celebrity / Entertainment / Viral,video,56436
1991272259366056308,Other / Miscellaneous,text,42341
1991306067607695823,Social/Cultural Issues,video,31925
1991338319540809798,Social/Cultural Issues,text,116748
1991373251021533686,Other / Miscellaneous,image,104491
1991386333047320902,Celebrity / Entertainment / Viral,image,6746
1991467381605167217,Celebrity / Entertainment / Viral,image,42034
1991485587078148605,Geopolitics & International Conflicts,video,47781
1991513878795284716,Economy & Finance,text,4072232
1991552110467633579,Social/Cultural Issues,video,278177
1991566977589211368,Social/Cultural Issues,text,34668
1991573992730423539,Economy & Finance,image,15198
1991585404852793667,Social/Cultural Issues,image,394527
1991610409024164126,Politics & Elections,image,77753
1991611162140811370,Social/Cultural Issues,image,28496
1991626705702973453,Sports,text,40427
1991640556968255879,Politics & Elections,text,109352
1991642496388989210,Geopolitics & International Conflicts,text,467
1991681077841166429,Health & Medicine,text,10806
1991872093240119693,Social/Cultural Issues,text,4698
1991895679002960232,Other / Miscellaneous,image,181559
1991903918717378710,Other / Miscellaneous,image,29949
1991905382017515779,Geopolitics & International Conflicts,image,163953
1991914809575834032,Celebrity / Entertainment / Viral,image,339731
1991922662608879806,Other / Miscellaneous,image,57458
1991923698824061164,Social/Cultural Issues,video,156390
1991947133910421705,Other / Miscellaneous,image,461953
1991968470137966702,Geopolitics & International Conflicts,image,18211
1991972995234254950,Celebrity / Entertainment / Viral,image,1800
1991974906477924854,Social/Cultural Issues,text,9502789
1991982803966464328,Science & Technology,image,594817
1992028605053063646,Science & Technology,image,4713
1992040712351691142,Politics & Elections,image,133000
1992081903370096993,Celebrity / Entertainment / Viral,text,2408
1992097171403944031,Politics & Elections,video,166450
1992098165030609013,Geopolitics & International Conflicts,image,8964
1992109795026104627,Politics & Elections,video,9417091
1992128124289794499,Geopolitics & International Conflicts,image,304846
1992170176687583386,Other / Miscellaneous,video,166966
1992214825993388311,Politics & Elections,text,73031
1992219511823446371,Other / Miscellaneous,image,7230
1992256544709476476,Celebrity / Entertainment / Viral,image,5511
1992298081266926051,Geopolitics & International Conflicts,text,51
1992330998726660343,Health & Medicine,image,31901
1992331079194485022,Geopolitics & International Conflicts,text,92423
1992367164259733743,Health & Medicine,image,12969
1992377696593252817,Politics & Elections,image,4072241
1992387357467898100,Social/Cultural Issues,image,543121
1992408713177739403,Politics & Elections,text,91522
1992472041526849830,Sports,video,7447
1992475521163448634,Other / Miscellaneous,image,7524
1992493705618739402,Science & Technology,image,1429734
1992510308133326890,Science & Technology,image,76787
1992511855999480244,Other / Miscellaneous,image,4434
1992652672068112670,Geopolitics & International Conflicts,text,96222
1992690197268779487,Politics & Elections,image,567178
1992714777575997712,Sports,video,5810701
1992718947607556559,Social/Cultural Issues,video,160131
1992720385192923436,Sports,image,5107
1992731116961157425,Economy & Finance,video,354506
1992753989092511998,Celebrity / Entertainment / Viral,video,402822
1992798959971246545,Politics & Elections,text,164853
1992823527435858140,Other / Miscellaneous,image,19479
1992834600138424652,Geopolitics & International Conflicts,image,201915
1992855896318452222,Social/Cultural Issues,image,139354
1992866811449344414,Social/Cultural Issues,video,1175641
1992915706204283091,Economy & Finance,video,81121
1992917476905242889,Geopolitics & International Conflicts,video,218422
1992943752433012870,Politics & Elections,image,5064002
1992948655238877508,Social/Cultural Issues,video,44482
1992961442035773664,Politics & Elections,text,9296580
1992979978401857658,Other / Miscellaneous,image,37697
1992986903386394974,Other / Miscellaneous,image,15234
1992988899984191665,Sports,image,4706
1992990099210977438,Geopolitics & International Conflicts,text,195737
1992999052125126688,Other / Miscellaneous,image,19479
1993000006325031255,Sports,text,7433
1993010204363862393,Social/Cultural Issues,text,95
1993019136478462226,Health & Medicine,video,1390835
1993031967923736787,Other / Miscellaneous,image,128982
1993061283198124185,Geopolitics & International Conflicts,video,1024393
1993065506598011254,Social/Cultural Issues,text,584220
1993075822358565170,Geopolitics & International Conflicts,text,56002
1993076235124224262,Other / Miscellaneous,text,3071
1993088722188034381,Politics & Elections,video,29322
1993100619931074593,Social/Cultural Issues,text,347029
1993165965429964982,Celebrity / Entertainment / Viral,image,1035089
1993173050486145415,Conspiracy & Pseudoscience,video,176204
1993182698635202725,Social/Cultural Issues,text,110
1993253257544655288,Conspiracy & Pseudoscience,text,119853
1993279915890974764,Other / Miscellaneous,image,3237
1993282020802543680,Celebrity / Entertainment / Viral,image,65235
1993329217975583113,Politics & Elections,video,6327
1993332817359782378,Celebrity / Entertainment / Viral,image,5913
1993357772981780750,Other / Miscellaneous,image,1034551
1993376692484866468,Science & Technology,image,209762
1993384018935488628,Politics & Elections,text,225213
1993388017852334456,Social/Cultural Issues,text,5077124
1993393468157424048,Politics & Elections,image,286075
1993393849914605676,Politics & Elections,image,2346495
1993395076261986432,Politics & Elections,image,169604
1993449259136667766,Politics & Elections,text,511364
1993450413388185750,Politics & Elections,text,449692
1993467522558087411,Geopolitics & International Conflicts,video,61237
1993491303196508584,Social/Cultural Issues,text,14664
1993515154210967845,Celebrity / Entertainment / Viral,text,38626
1993516749137039629,Politics & Elections,image,101222
1993531658952425783,Social/Cultural Issues,video,24616
1993572118366503312,Geopolitics & International Conflicts,image,11586
1993580175078928453,Other / Miscellaneous,video,182013
1993599385406468170,Other / Miscellaneous,image,1175641
1993605680159457712,Geopolitics & International Conflicts,image,541746
1993618224106103217,Other / Miscellaneous,image,30848
1993631318375067995,Social/Cultural Issues,text,308778
1993656542063718709,Social/Cultural Issues,text,90619
1993721103802618250,Celebrity / Entertainment / Viral,text,2871
1993736475368636877,Politics & Elections,text,84140
1993739984285913498,Other / Miscellaneous,video,639
1993742661195583825,Politics & Elections,video,166316
1993747674420621777,Geopolitics & International Conflicts,video,69091
1993775453669347731,Politics & Elections,image,30608
1993777717603385612,Social/Cultural Issues,image,180283
1993778837738672498,Social/Cultural Issues,video,24904
1993781604209062309,Sports,video,40158
1993788458595438684,Social/Cultural Issues,image,6686
1993795698870112629,Social/Cultural Issues,image,81880
1993806645047222369,Sports,image,471
1993839479816339921,Politics & Elections,video,426194
1993854177777205719,Social/Cultural Issues,text,348
1993862308540633159,Politics & Elections,text,5530722
1993862719322378579,Politics & Elections,text,121889
1993922972802052147,Social/Cultural Issues,text,156433
1993949741970018580,Politics & Elections,text,101914
1993958216590598571,Sports,image,156491
1993965643977420812,Other / Miscellaneous,image,49841
1993976457975206036,Social/Cultural Issues,text,190391
1994008300179083415,Politics & Elections,video,23042417
1994014600753295844,Other / Miscellaneous,text,202929
1994019655669698807,Other / Miscellaneous,video,122526
1994021010081714438,Geopolitics & International Conflicts,image,1151216
1994037079412473932,Celebrity / Entertainment / Viral,text,7325
1994043445053411581,Other / Miscellaneous,image,2359
1994047420313870667,Science & Technology,video,1175644
1994049108383027230,Sports,image,917
1994066652237869545,Geopolitics & International Conflicts,video,431179
1994101260824514803,Other / Miscellaneous,image,166450
1994120859607548290,Science & Technology,video,250114
1994148688126726609,Social/Cultural Issues,video,1175641
1994152995060101482,Sports,image,2437492
1994178272498733102,Sports,text,10903
1994243340074688694,Social/Cultural Issues,text,3856
1994253557420204036,Politics & Elections,image,653129
1994260426184642896,Geopolitics & International Conflicts,video,242735
1994272683387687053,Politics & Elections,text,111769094
1994298772562849933,Celebrity / Entertainment / Viral,image,48293
1994358224946864394,Geopolitics & International Conflicts,video,445817
1994376054061084894,Social/Cultural Issues,text,2101
1994406191351423011,Geopolitics & International Conflicts,text,425616
1994437323279233423,Celebrity / Entertainment / Viral,video,1691970
1994453764850299008,Other / Miscellaneous,text,27
1994454275901042994,Geopolitics & International Conflicts,video,70826
1994464816556048860,Geopolitics & International Conflicts,image,125024
1994465411463520472,Other / Miscellaneous,video,20505
1994589684102828181,Politics & Elections,image,144409
1994591425376428325,Celebrity / Entertainment / Viral,text,74126
1994637529791029525,Other / Miscellaneous,video,359
1994655789932576941,Economy & Finance,text,3870789
1994727378334224497,Social/Cultural Issues,image,18593
1994739129452818450,Social/Cultural Issues,video,64823
1994745326444376340,Celebrity / Entertainment / Viral,image,204
1994765935710818406,Geopolitics & International Conflicts,text,3304599
1994775227444941049,Other / Miscellaneous,image,2184
1994782375612649592,Celebrity / Entertainment / Viral,text,12262
1994800172006854981,Politics & Elections,video,387949
1994807117094559762,Social/Cultural Issues,video,2034461
1994817573377249437,Social/Cultural Issues,image,357354
1994859291480588718,Health & Medicine,text,5077124
1994886834262806648,Social/Cultural Issues,video,80751
1994923287927833053,Celebrity / Entertainment / Viral,text,256714
1994931490107379767,Sports,image,8292
1994941758401311177,Other / Miscellaneous,text,48
1994965749883081084,Economy & Finance,video,1603603
1994992253715320859,Sports,text,143981
1994996549789872534,Geopolitics & International Conflicts,video,1979223
1995006455120814329,Social/Cultural Issues,video,166450
1995009017559568802,Social/Cultural Issues,text,17555
1995017975825666131,Geopolitics & International Conflicts,image,20773
1995108872936165468,Politics & Elections,image,2084
1995109798178652641,Celebrity / Entertainment / Viral,video,2034461
1995120629419577779,Other / Miscellaneous,video,4349449
1995137680292622520,Politics & Elections,image,377822
1995144961084227815,Other / Miscellaneous,video,63701
1995149104696152188,Politics & Elections,text,90633
1995159395987263584,Economy & Finance,video,273380
1995225614698316244,Sports,text,15602
1995228961299898815,Politics & Elections,video,231932
1995230559422087293,Celebrity / Entertainment / Viral,image,76754
1995232015013335504,Social/Cultural Issues,image,223786
1995237746403844150,Geopolitics & International Conflicts,image,94597
1995238750411256233,Politics & Elections,video,580415
1995279639430959126,Politics & Elections,text,1929012
1995365771451777190,Politics & Elections,image,6118
1995382613134196905,Celebrity / Entertainment / Viral,video,238704
1995410204951793715,Celebrity / Entertainment / Viral,text,16223278
1995530992291893747,Politics & Elections,video,85853
1995561834393534758,Celebrity / Entertainment / Viral,video,712164
1995573415361871940,Politics & Elections,video,672603
1995595384794832900,Politics & Elections,text,111224
1995610149457986030,Social/Cultural Issues,image,6158
1995630578725503280,Politics & Elections,image,547729
1995642101779124476,Politics & Elections,text,765646
1995645875071095262,Politics & Elections,video,547726
1995671143613956176,Sports,image,6024
1995677435090898961,Geopolitics & International Conflicts,image,98503
1995698539666833765,Social/Cultural Issues,text,15166
1995708803916935281,Geopolitics & International Conflicts,video,152881
1995738312355533032,Health & Medicine,video,4841
1995770626368319734,Economy & Finance,text,46464
1995785677967860123,Politics & Elections,image,10453
1995790210479915026,Politics & Elections,image,32571
1995805779828318377,Social/Cultural Issues,text,547729
1995828415555911919,Sports,image,94635
1995900693769552168,Sports,text,135860
1996017880337711529,Politics & Elections,text,18
1996038332535730531,Politics & Elections,image,216397
1996061865063927850,Other / Miscellaneous,text,578384
1996135318878327212,Social/Cultural Issues,image,35040
1996175217274806460,Geopolitics & International Conflicts,image,338776
1996207749382987966,Science & Technology,image,25973
1996210775954989558,Geopolitics & International Conflicts,text,24725
1996233203233833300,Social/Cultural Issues,image,426194
1996233691194921148,Geopolitics & International Conflicts,image,186273
1996236760599126415,Celebrity / Entertainment / Viral,video,957435
1996243212923490427,Other / Miscellaneous,text,143
1996277697451049362,Other / Miscellaneous,video,129325
1996278491075997930,Health & Medicine,image,17984
1996286207836246019,Social/Cultural Issues,text,73222
1996291139070988568,Geopolitics & International Conflicts,image,1323379
1996322094624153733,Social/Cultural Issues,text,263696
1996331556013752533,Sports,video,3337550
1996337532628574456,Sports,image,385015
1996373635557474407,Geopolitics & International Conflicts,text,188816
1996380101441958374,Politics & Elections,text,580435
1996392907608334617,Sports,image,28541541
1996419243320266980,Other / Miscellaneous,image,32633
1996448250132631824,Celebrity / Entertainment / Viral,text,167681
1996479630568784342,Sports,image,146834
1996494990642684279,Politics & Elections,image,22434
1996513424176746619,Geopolitics & International Conflicts,image,244740
1996514622116110603,Science & Technology,text,1152
1996520699863662871,Politics & Elections,video,1550205
1996616213867438519,Politics & Elections,image,1812122
1996617221125357674,Politics & Elections,text,180
1996629296019132698,Politics & Elections,text,529437
